"TimestampUtc","CorrelationID","RecoveryApprovalID","RequestID","EmployeeID","SamAccountName","Stage","Action","Target","Result","Details"
"2026-09-04T23:21:58.8021803Z","M06-RECOVERY-20260905-002158","RCV-2026-0905-001","LVR-2026-0904-003","IAM2003","mason.cole","RecoveryPreflight","ValidateRecoveryApproval","Authoritative recovery manifest and contained account","Passed","The approval, recovery window, manifest hash and contained state were validated."
"2026-09-04T23:21:58.8177298Z","M06-RECOVERY-20260905-002158","RCV-2026-0905-001","LVR-2026-0904-003","IAM2003","mason.cole","DirectoryRecovery","RestoreOriginalOU","OU=Information Technology,OU=Employees,OU=Users,OU=IAM-Lab,DC=corporate,DC=test","Success","The disabled account was returned to its authorised pre-leaver OU."
"2026-09-04T23:21:58.8333163Z","M06-RECOVERY-20260905-002158","RCV-2026-0905-001","LVR-2026-0904-003","IAM2003","mason.cole","AttributeRecovery","RestoreOriginalDescription","mason.cole","Success","The original active lifecycle description was restored while the account remained disabled."
"2026-09-04T23:21:58.8645468Z","M06-RECOVERY-20260905-002158","RCV-2026-0905-001","LVR-2026-0904-003","IAM2003","mason.cole","AccessRecovery","RestoreMembership","GG_IAM_Access_IT_ServiceDesk","Success","One authorised pre-leaver direct IAM membership was restored while the account remained disabled."
"2026-09-04T23:21:58.8645468Z","M06-RECOVERY-20260905-002158","RCV-2026-0905-001","LVR-2026-0904-003","IAM2003","mason.cole","AccessRecovery","RestoreMembership","GG_IAM_Access_M365_Baseline","Success","One authorised pre-leaver direct IAM membership was restored while the account remained disabled."
"2026-09-04T23:21:58.8802558Z","M06-RECOVERY-20260905-002158","RCV-2026-0905-001","LVR-2026-0904-003","IAM2003","mason.cole","AccessRecovery","RestoreMembership","GG_IAM_All_Employees","Success","One authorised pre-leaver direct IAM membership was restored while the account remained disabled."
"2026-09-04T23:21:58.9112219Z","M06-RECOVERY-20260905-002158","RCV-2026-0905-001","LVR-2026-0904-003","IAM2003","mason.cole","AccessRecovery","RestoreMembership","GG_IAM_All_Workforce","Success","One authorised pre-leaver direct IAM membership was restored while the account remained disabled."
"2026-09-04T23:21:58.9268845Z","M06-RECOVERY-20260905-002158","RCV-2026-0905-001","LVR-2026-0904-003","IAM2003","mason.cole","AccessRecovery","RestoreMembership","GG_IAM_Department_InformationTechnology","Success","One authorised pre-leaver direct IAM membership was restored while the account remained disabled."
"2026-09-04T23:21:58.9268845Z","M06-RECOVERY-20260905-002158","RCV-2026-0905-001","LVR-2026-0904-003","IAM2003","mason.cole","AccountRecovery","EnableRecoveredAccount","mason.cole","Success","The account was enabled only after its approved OU, attributes and memberships were restored."
"2026-09-04T23:21:58.9425554Z","M06-RECOVERY-20260905-002158","RCV-2026-0905-001","LVR-2026-0904-003","IAM2003","mason.cole","RecoveryValidation","ValidateRecoveredState","mason.cole","Passed","The identity was restored to its exact authorised pre-leaver state."
"2026-09-04T23:21:58.9739643Z","M06-RECOVERY-20260905-002158","RCV-2026-0905-001","LVR-2026-0904-003","IAM2003","mason.cole","PostValidation","ValidateRecoveryEnvironment","Controlled IAM-Lab recovery state","Passed","The recovered identity and remaining contained leavers passed final environment validation."
